title,author,runtime
Burner,Mark Greaney, 16 hrs and 37 mins
The Endless Field in South,Dinh Dong, 1 hr and 47 mins
The Housemaid's Secret,Freida McFadden, 9 hrs and 44 mins
Things We Hide from the Light,Lucy Score, 17 hrs and 36 mins
Holly,Stephen King, 16 hrs
In a Jam,Kate Canterbary, 15 hrs and 54 mins
Storm Watch,C. J. Box, 12 hrs and 15 mins
Angron: The Red Angel,David Guymer, 10 hrs and 57 mins
League of Auld,Edward Savio, 12 hrs and 46 mins
Only the Dead,Jack Carr, 12 hrs
Unleashed,Joshua Dalzelle, 8 hrs and 27 mins
Dempsey,"Jeffrey Wilson,Brian Andrews", 12 hrs and 14 mins
Prince of Lies,Lucy Lennox, 10 hrs and 26 mins
Jungle World,B.V. Larson, 13 hrs and 59 mins
Payback in Death,J. D. Robb, 13 hrs
Powerless,Elsie Silver, 10 hrs and 25 mins
Roots,Alex Haley, 27 hrs and 36 mins
Rise of the Fourth Reich,"Steve Deace,Daniel Horowitz", 11 hrs and 23 mins
The Obstacle Is the Way,Ryan Holiday, 4 hrs and 38 mins
Drama King,Penny Reid, 11 hrs and 47 mins
The Lord Ruler,Alvin Atwater, 17 hrs and 39 mins
Dragonslayer,Craig Alanson, 16 hrs and 40 mins
The Lost Relic,Vaughn Heppner, 14 hrs and 34 mins
Graves on the Fens,Joy Ellis, 10 hrs and 50 mins
Tears of Liscor,pirateaba, 42 hrs and 3 mins
The Awe of God,John Bevere, 7 hrs and 28 mins
Foul Play,Helena Marchmont, 2 hrs and 57 mins
Don't Let Me Break,Kelsie Rae, 10 hrs and 19 mins
The White Pill,Michael Malice, 9 hrs and 11 mins
Made for You,Natasha Madison, 7 hrs and 27 mins
Esrahaddon,Michael J. Sullivan, Not Yet Known
Whiskey Lies,Brittanee Nicole, 11 hrs and 48 mins
The Red Pyramid,Rick Riordan, 14 hrs and 33 mins
The Path of Ascension 2,C. Mantis, 17 hrs and 38 mins
Heartless,Elsie Silver, 9 hrs and 51 mins
Resurrection Walk,Michael Connelly, 12 hrs
Smoke Screen,Bradley Wright, 6 hrs and 49 mins
The Alpha Female Wolf,"Rick McIntyre,Jane Goodall - foreword", 6 hrs and 40 mins
"Hartman's Nursing Assistant Care: The Basics, 6th Edition","Jetta Fuzy MS RN,Hartman Publishing Inc.", 17 hrs and 25 mins
How to Save the West,Spencer Klavan, 6 hrs and 33 mins
Alt System,Tom Larcombe, 13 hrs and 25 mins
The Sound of Light,Sarah Sundin, 11 hrs and 28 mins
Lunatic,Onley James, 7 hrs and 49 mins
Earthside,Dennis E. Taylor, 8 hrs and 55 mins
Skinwalkers at the Pentagon,"James T. Lacatski DEng,Colm A. Kelleher PhD,George Knapp,various", 6 hrs and 12 mins
Throttled,Lauren Asher, 10 hrs and 21 mins
The Fortifier,D.K. Landtroop, 10 hrs and 9 mins
System Reborn Vol 1 & 2,Kaz Hunter, 10 hrs and 13 mins
Young Forever,Dr. Mark Hyman MD, 9 hrs and 28 mins
I Have Some Questions for You,Rebecca Makkai, 14 hrs and 4 mins
The Urgent Life,Bozoma Saint John, 7 hrs and 56 mins
The Emotional Lives of Teenagers,Lisa Damour Ph.D., 6 hrs and 15 mins
Forever Paired,Kathleen Brooks, 7 hrs and 20 mins
Tú eres lo único que falta en tu vida [You Are the Only Thing Missing in Your Life],Borja Vilaseca, 8 hrs and 28 mins
Poison Roses,"Tate James,Jaymin Eve", 8 hrs and 25 mins
The Book Spy,Alan Hlad, 11 hrs and 23 mins
Conduit Crisis,Louisa Masters, 6 hrs and 57 mins
Unbroken Bonds,J Bree, 10 hrs and 49 mins
Little Bird,Ria Wilde, 6 hrs and 18 mins
The Case Against the Sexual Revolution,Louise Perry, 6 hrs and 4 mins
Badges of Dorkdom: The Complete Series,Theo Hodges, 40 hrs and 17 mins
Jim Bridger,Jerry Enzler, 13 hrs and 41 mins
All My Knotted-Up Life,Beth Moore, 8 hrs and 29 mins
It's OK to Be Angry About Capitalism,"Senator Bernie Sanders,John Nichols", 10 hrs and 59 mins
Sapphire Scars,Nicole Fox, 9 hrs and 56 mins
I'm Not Charlotte Lucas,Kasey Stockton, 8 hrs and 56 mins
Christ-Centered Dating,Mark Ballenger, 6 hrs and 38 mins
Future Wife,Nicole Pyland, 9 hrs and 7 mins
The Final Nephilim,Ryan Pitterson, 17 hrs and 27 mins
Solid as Steele,Susan Sleeman, 9 hrs and 35 mins
Gray Tidings,Hailey Edwards, 8 hrs and 42 mins
The Auction,Maggie Cole, 9 hrs and 54 mins
Uprising,Kris Vallotton, 5 hrs and 21 mins
Reclusive Mage,Inadvisably Compelled, 12 hrs and 27 mins
Every Shot Counts,Mark Broadie, 6 hrs and 28 mins
"FOUR x4 - Four Series, Books 5-8",Stephanie Brother, 24 hrs and 26 mins
The Big Fix,Mary Calmes, 8 hrs and 31 mins
When She Unravels,Gabrielle Sands, 10 hrs and 19 mins
House of Beating Wings,Olivia Wildenstein, 15 hrs and 30 mins
Starseeds What's It All About?,Alexander Quinn, 12 hrs and 22 mins
Postcards from Stella Maris,Susan M. Boyer, 1 hr and 50 mins
Shifter Girls: Overdrive,Michael Dalton, 6 hrs and 10 mins
Dragon,Kat Blackthorne, 10 hrs and 14 mins
The Cursed Among Us,John Durgin, 6 hrs and 32 mins
Code Red,"Vince Flynn,Kyle Mills", 9 hrs and 30 mins
Stick Shift,K.M. Neuhold, 6 hrs and 38 mins
Murder Through the Mirror,L.B. Hathaway, 3 hrs and 48 mins
Gothic,Philip Fracassi, 10 hrs and 16 mins
The Farm Book 4: Behind the Curve,Boyd Craven III, 7 hrs and 23 mins
Old World War,Melissa F. Olson, 12 hrs and 4 mins
"Bent, Not Broken",Rick Gualtieri, 12 hrs and 33 mins
Saving Supervillains 3,Bruce Sentar, 10 hrs and 37 mins
Asking Better Questions of the Bible,Marty Solomon, 4 hrs and 33 mins
Nuclear War Survival,"David Kobler,JD Dutra", 1 hr and 19 mins
Fraser,Susan May Warren, 8 hrs and 38 mins
Vicious Bonds,Shanora Williams, 12 hrs and 24 mins
Cat's Chance in Hell,Meghan Maslow, 11 hrs and 47 mins
Vicious Lies,Rachel Leigh, 7 hrs and 35 mins
The Smuggler's Legacy,Franklin W. Dixon, 3 hrs and 50 mins
Prometheus Rising,Robert Anton Wilson, 7 hrs and 57 mins
Grizzly Killer: Spirit of the Mountain,Lane R. Warenski, 7 hrs and 56 mins
Never Marry Your Brother's Best Friend,Lauren Landish, 11 hrs and 25 mins
Optimize Your Health with Therapeutic Peptides,Jay Campbell, 3 hrs and 1 min
Seabreeze Reunion,Jan Moran, 6 hrs and 38 mins
Forest of Foes,Matthew Harffy, 14 hrs and 28 mins
Confessions of the Funny Fat Friend,Kelsie Hoss, 9 hrs and 52 mins
"Come, Lord Jesus",John Piper, 7 hrs and 50 mins
Tragic Bonds,J Bree, 10 hrs and 4 mins
From a Soul Friend,John O'Donohue PhD, 8 hrs and 31 mins
Confrontations,Jacques Vallee, 8 hrs and 37 mins
The Rose Girls,Jennifer Chase, 9 hrs and 40 mins
Cultivator vs. System: The Complete Series,Valerios, 37 hrs and 52 mins
A Contracted Spouse for the Prizefighter,Alice Coldbreath, 15 hrs and 43 mins
Your Place or Mine?,Portia MacIntosh, 7 hrs and 43 mins
Happy Place,Emily Henry, Not Yet Known
Torith,SunriseCV, 14 hrs and 16 mins
Dark Alliance Turbulent Waters,I. T. Lucas, 8 hrs and 21 mins
The Silence of Unworthy Gods,Andrew Rowe, 20 hrs and 43 mins
Shores of Despair,Mark Tufo, Not Yet Known
Billionaire Unclaimed: Chase,J. S. Scott, 7 hrs and 32 mins
A Game of Hearts,Joanna Barker, 11 hrs and 16 mins
Sinful Crown,Ava Harrison, 9 hrs and 8 mins
The Leadership Challenge (7th Edition),"James M. Kouzes,Barry Z. Posner", 11 hrs and 14 mins
My Kind of Town,Shelly Laurenston, 4 hrs and 23 mins
High Impact,Freya Barker, 7 hrs and 30 mins
Spare,Prince Harry The Duke of Sussex, 15 hrs and 39 mins
Dismount,Lucia Franco, 13 hrs and 24 mins
Valkyrie,Kris Michaels, 7 hrs and 6 mins
The Empire,Ivan Kal, 35 hrs and 5 mins
The Winter Soldier: Cold Front,Mackenzi Lee, 9 hrs and 21 mins
Resisting the Alpha,Skye Wilson, 9 hrs
One Girl in All the World,Kendare Blake, 10 hrs and 31 mins
Private Pilot Blueprint,Jason Schappert, 2 hrs and 9 mins
Never Lie,Freida McFadden, 7 hrs and 22 mins
Murder in Chianti,T A Williams, 6 hrs and 44 mins
Hell Divers X: Fallout,Nicholas Sansbury Smith, 12 hrs and 59 mins
Three Widows,Patricia Gibney, 13 hrs and 45 mins
Irish Coffee Murder,"Leslie Meier,Lee Hollis,Barbara Ross", 10 hrs and 16 mins
Blaze of Fury,Annabel Chase, 5 hrs and 33 mins
Vanguard,Apollos Thorne, 17 hrs and 51 mins
Days of the Living Christ: Volume 1,W. Cleon Skousen, 13 hrs and 22 mins
Real Romance,"Mark Driscoll,Grace Driscoll", 7 hrs
The Cabinet of Dr. Leng,"Douglas Preston,Lincoln Child", 14 hrs and 24 mins
Walk the Blue Line,"James Patterson,Matt Eversmann,Chris Mooney", 8 hrs and 17 mins
The House of Wolves,"James Patterson,Mike Lupica", 8 hrs and 46 mins
Believing Me,Ingrid Clayton, 7 hrs and 15 mins
The Sceptic,Lily Morton, 11 hrs and 18 mins
Striker,Anna Hackett, 5 hrs and 41 mins
Serpent Rising,Neven Paar, 28 hrs and 40 mins
The Last Aether,Tessa Hale, 6 hrs and 34 mins
Uploaded,Burkley Orion Smith, 13 hrs and 8 mins
A Long Time Coming,Meghan Quinn, 12 hrs and 22 mins
The 6 Types of Working Genius,Patrick M. Lencioni, 4 hrs and 11 mins
The Anxiety Audit,Lynn Lyons LICSW, 6 hrs and 13 mins
Can't Say Goodbye,Eden Finley, 8 hrs and 5 mins
Smarter Not Harder,Dave Asprey, 8 hrs and 30 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor", 17 hrs and 7 mins
Silver Master,Jayne Castle, 9 hrs and 37 mins
A Thousand Li: The Third Realm,Tao Wong, 14 hrs and 3 mins
A Sinister Revenge,Deanna Raybourn, 12 hrs and 3 mins
Matchmaking the Rival,Layla Hagen, 7 hrs and 13 mins
Fierce Queen,Sadie Kincaid, 7 hrs and 51 mins
Women with ADHD,"Sarah Davis,Linda Hill", 3 hrs and 37 mins
A Little Life,Hanya Yanagihara, 32 hrs and 51 mins
Children of Memory,Adrian Tchaikovsky, 13 hrs and 27 mins
Monsters and How to Tame Them,Kevin Hart, 5 hrs and 37 mins
Deadly Force,Massad Ayoob, 10 hrs and 4 mins
Flawless,Elsie Silver, 9 hrs and 44 mins
Here Lie the Dead,JD Kirk, 12 hrs and 53 mins
Doglapan,Ashneer Grover, 6 hrs and 30 mins
Why We Forget and How to Remember Better,"Andrew E. Budson MD,Elizabeth A. Kensinger PhD,Daniel L. Schacter PhD - foreword", 12 hrs and 7 mins
Magnus,Dale Mayer, 6 hrs and 18 mins
All-in on AI,"Tom Davenport,Nitin Mittal", 6 hrs and 48 mins
The Prince Goes Nuclear,Matthew Howry, 11 hrs and 52 mins
Someone Else's Shoes,Jojo Moyes, 12 hrs and 21 mins
Fast Like a Girl,Dr. Mindy Pelz, 8 hrs and 13 mins
"Secular, Sacred, Spirit",Blake K. Healy, 3 hrs and 29 mins
The Ex I'd Love to Hate,Nadia Lee, 15 hrs and 13 mins
Looking for the Hidden Folk,Nancy Marie Brown, 8 hrs and 25 mins
Godly Wars,Brad Magnarella, 9 hrs and 5 mins
"You Can't Kiss the Nanny, Brady Banks",Piper Rayne, 6 hrs and 24 mins
Freaky Crush,Amanda M. Lee, 9 hrs and 17 mins
Men's Work,Connor Beaton, 9 hrs and 27 mins
The Devine Doughnut Shop,Carolyn Brown, 8 hrs and 20 mins
Radiant Sin,Katee Robert, 10 hrs and 10 mins
How to Be Love(d),Humble the Poet, 6 hrs and 39 mins
Tower of the Noobs,Ryan Rimmel, 16 hrs and 40 mins
The Secret Life of Sunflowers,"Marta Molnar,Dana Marton", 9 hrs and 52 mins
The Water Is Wide,Pat Conroy, 9 hrs and 17 mins
"Stocks for the Long Run, 6th Edition",Jeremy J. Siegel, 13 hrs and 41 mins
The Answer to Anxiety,Joyce Meyer, 3 hrs
Objective Secure,Nick Lavery, 8 hrs and 42 mins
The Light We Carry,Michelle Obama, 9 hrs and 59 mins
The House at the End of the World,Dean Koontz, 10 hrs and 22 mins
Twisted Secrets,Rachel Leigh, 8 hrs and 44 mins
About Last Night,Aimee Nicole Walker, 7 hrs
Pen Pal,J.T. Geissinger, 7 hrs and 54 mins
Stop Overthinking Your Relationship,"Alicia Muñoz LPC,Linda Carroll LMFT - foreword", 7 hrs and 22 mins
The Abandoned Chase,Cap Daniels, 8 hrs and 15 mins
The 13th God,Edward W. Robertson, 22 hrs and 38 mins
Furry Fortunes,Danielle Garrett, 5 hrs and 50 mins
Start with Why,Simon Sinek, 7 hrs and 18 mins
Why We Sleep,Matthew Walker, 13 hrs and 52 mins
Ignite Your Life,Barry Meguiar, 5 hrs and 35 mins
Call Me Anne,Anne Heche, 3 hrs and 17 mins
Man-Eaters of Kumaon,Jim Corbett, 8 hrs and 15 mins
Jasper Vale,Devney Perry, 9 hrs and 53 mins
Of Boys and Men,Richard V. Reeves, 6 hrs and 55 mins
How to Win Friends & Influence People,Dale Carnegie, 7 hrs and 15 mins
Never Split the Difference,Chris Voss, 8 hrs and 7 mins
The Total Money Makeover,Dave Ramsey, 3 hrs and 41 mins
Hunting Adeline,H. D. Carlton, 17 hrs and 24 mins
One Bossy Proposal,Nicole Snow, 14 hrs and 42 mins
I Dare You to Love Me,Lori G. Matthews, 8 hrs and 53 mins
City of Likes,Jenny Mollen, 7 hrs and 5 mins
Twisted,Emily McIntire, 10 hrs and 44 mins
In Order to Live,Yeonmi Park, 9 hrs and 37 mins
Raising Men,"Eric Davis,Dina Santorelli - contributor", 6 hrs and 41 mins
It Didn't Start with You,Mark Wolynn, 8 hrs and 16 mins
Wild Ever After,Rebecca Jenshak, 8 hrs and 13 mins
Shield-Maiden: Gambit of Shadows,Melanie Karsak, 8 hrs and 18 mins
A Light in the Flame,Jennifer L. Armentrout, 26 hrs and 27 mins
Legends & Lattes,Travis Baldree, 7 hrs and 19 mins
The Lost Hero,Rick Riordan, 16 hrs and 33 mins
The Bookstore Sisters,Alice Hoffman, 1 hr and 6 mins
Ghostly Game,Christine Feehan, 11 hrs and 15 mins
Gallows Hill,Darcy Coates, 13 hrs and 26 mins
Promise Me Always,A.L. Jackson, 12 hrs and 37 mins
Courage to Stand,Ginny Dye, 16 hrs and 6 mins
Forsaken Country,Allen Eskens, 11 hrs and 9 mins
Expanse,Nicoli Gonnella, 29 hrs and 41 mins
The Armor of Light,Ken Follett, 35 hrs
"Start, Stay, or Leave",Trey Gowdy, 7 hrs and 36 mins
A Snake's Rule,Kenneth Arant, 10 hrs and 40 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell", 30 hrs and 20 mins
Codependent No More,Melody Beattie, 8 hrs and 42 mins
Beyond Rosy Irish Twilight,Ava Miles, 4 hrs and 30 mins
Self Sabotage No More,Jennie Potter, 2 hrs and 45 mins
Paradise Club,Tim Meyer, 7 hrs and 36 mins
Mind Battles,"Kathy DeGraw,Troy Anderson - foreword", 6 hrs and 15 mins
The Butcher and the Wren,Alaina Urquhart, 6 hrs and 23 mins
Brain Energy,Christopher M. Palmer MD, 12 hrs and 18 mins
The Whole-Brain Child,"Daniel J. Siegel,Tina Payne Bryson", 6 hrs and 14 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid, 12 hrs and 10 mins
The Witching Hour,Anne Rice, 50 hrs and 1 min
One True Loves,Taylor Jenkins Reid, 8 hrs and 5 mins
The Song of Achilles,Madeline Miller, 11 hrs and 15 mins
Outliers,Malcolm Gladwell, 7 hrs and 18 mins
A Short History of Nearly Everything,Bill Bryson, 18 hrs and 13 mins
The Obesity Code,Dr. Jason Fung, 10 hrs and 9 mins
Empire of the Summer Moon,S. C. Gwynne, 15 hrs and 9 mins
A Gentleman in Moscow,Amor Towles, 17 hrs and 52 mins
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss, 13 hrs and 1 min
Fahrenheit 451,Ray Bradbury, 5 hrs and 1 min
Bastard Boss,Lisa Renee Jones, 5 hrs and 43 mins
Knight Ascending,B. M. Clemton, 8 hrs and 28 mins
The Honor Girl,Grace Livingston Hill, 6 hrs and 10 mins
Kildash,Lee Ellis, 17 hrs and 46 mins
Think and Grow Rich,Napoleon Hill, 9 hrs and 35 mins
Dune,Frank Herbert, 21 hrs and 2 mins
We Are Legion (We Are Bob),Dennis E. Taylor, 9 hrs and 56 mins
A Feast for Crows,George R.R. Martin, 33 hrs and 51 mins
Empire of Storms,Sarah J. Maas, 25 hrs and 18 mins
A Dance with Dragons,George R.R. Martin, 48 hrs and 55 mins
Ready Player One,Ernest Cline, 15 hrs and 40 mins
Principles,Ray Dalio, 16 hrs and 5 mins
Romancing Mister Bridgerton,Julia Quinn, 13 hrs and 17 mins
The New Testament Made Easier - Part 2,David J. Ridges, 29 hrs and 9 mins
Putting an X Through Anxiety,Louie Giglio, 2 hrs and 50 mins
The Lords of Discipline,Pat Conroy, 19 hrs and 23 mins
The Rose and the Thistle,Laura Frantz, 13 hrs and 53 mins
Archer's Voice,Mia Sheridan, 11 hrs and 7 mins
Unscripted,"James B. Stewart,Rachel Abrams", 12 hrs and 23 mins
Viridian Gate Online: Sharper's Coin,"D.J. Bodden,James Hunter", 9 hrs and 55 mins
The Fine Print,Lauren Asher, 11 hrs and 8 mins
The Simple Path to Wealth,JL Collins, 6 hrs and 38 mins
The Rise and Fall of the Third Reich,William L. Shirer, 57 hrs and 11 mins
The Intelligent Investor Rev Ed.,Benjamin Graham, 17 hrs and 48 mins
How Not to Die,"Michael Greger MD,Gene Stone", 17 hrs and 9 mins
God Is Red,Vine Deloria Jr., 15 hrs and 31 mins
Warlord,Doc Spears, 19 hrs and 11 mins
Roadkill,Dennis E. Taylor, 8 hrs and 58 mins
Harvest of Rubies,Tessa Afshar, 10 hrs and 35 mins
The Nightingale,Kristin Hannah, 17 hrs and 19 mins
"Recovery from Narcissistic Abuse, Gaslighting, Codependency and Complex PTSD (4 Books in 1)",Linda Hill, 12 hrs and 31 mins
Haunting Adeline,H. D. Carlton, 15 hrs and 44 mins
The Last Chance Cowboy,Jody Hedlund, 11 hrs and 24 mins
While Time Remains,Yeonmi Park, 6 hrs and 28 mins
Unnatural History,Jonathan Kellerman, 11 hrs and 11 mins
You're That Bitch,Bretman Rock, 6 hrs and 26 mins
La democracia no se toca,"Lorenzo Córdova,Ciro Murayama", 4 hrs and 1 min
Escaping Enemy Mode,"E. James Wilder,Ray Woolridge", 9 hrs and 31 mins
Kindred,Octavia E. Butler, 10 hrs and 55 mins
Money: Master the Game,Tony Robbins, 21 hrs and 3 mins
Mogworld,Yahtzee Croshaw, 13 hrs and 8 mins
I Got You,Miss Jenesequa, 12 hrs and 3 mins
Commanding Flame and Shield,S.J. Barnett, 21 hrs and 19 mins
One Second After,William R. Forstchen, 13 hrs and 17 mins
The Trump Tapes,Bob Woodward, 11 hrs and 29 mins
The Magic,Rhonda Byrne, 4 hrs and 45 mins
The January 6 Report,The January 6th Committee, 19 hrs and 28 mins
The Boyfriend Material Collection,Lauren Blakely, 23 hrs and 18 mins
What Divides Us,Jean Grainger, 7 hrs and 47 mins
Slip Runner,"J.N. Chaney,M.F. Lerma", 8 hrs and 18 mins
Beautiful Devils,Eva Ashwood, 12 hrs and 40 mins
Finlay Donovan Jumps the Gun,Elle Cosimano, 8 hrs and 38 mins
Pigeon Tony's Last Stand,Lisa Scottoline, 1 hr and 13 mins
Until Willow,Aurora Rose Reynolds, 7 hrs and 9 mins
For Blood and Money,Nathan Vardi, 8 hrs and 33 mins
Game of Hate and Lies,LJ Andrews, 10 hrs and 43 mins
No Regrets,"Matthew Kelly,Allen R. Hunt", 3 hrs and 10 mins
Dark Angel,John Sandford, 12 hrs
Garro: Knight of Grey,James Swallow, 3 hrs and 39 mins
Whispers of You,Catherine Cowles, 9 hrs and 17 mins
