title,author,runtime
The Engine House: A Black Beacons Murder Mystery,Rhys Dylan, 9 hrs and 4 mins
Crown of Crimson,Karina Halle, 10 hrs and 10 mins
The Culture System,J.P. Nerbun, 6 hrs and 50 mins
Last Man Standing,Craig A. Falconer, 11 hrs and 4 mins
Awakened,Angela Watson, 8 hrs and 7 mins
The Lightning Thief,Rick Riordan, 10 hrs and 2 mins
Freedom from Anxiety,Paul McKenna, 2 hrs and 59 mins
Counterfeit Kingdom,"Holly Pivec,R. Douglas Geivett", 6 hrs and 41 mins
Orgullo prieto [Dark-Skinned Pride],Tenoch Huerta, 4 hrs and 54 mins
The NCLEX-RN Exam Study Guide: Premium Edition - Proven Methods to Pass the NCLEX-RN Examination with Confidence – Extensive NCLEX-RN Next Generation NCLEX (NGN) Practice Test Questions with Answers.,"Rachel Belinelli,Scientia Media Group", 15 hrs and 59 mins
Spectrum Women,"Barb Cook - editor,Dr Michelle Garnett - editor,Lisa Morgan - foreward,various", 9 hrs and 51 mins
Frayed,Laura Pavlov, 10 hrs and 51 mins
The Curse of the High IQ,Aaron Clarey, 3 hrs and 54 mins
Leading the Unleadable,Alan Willett, 5 hrs and 51 mins
The Little Book of Boards,Erik Hanberg, 5 hrs and 3 mins
The Shadow Casket,Chris Wooding, 32 hrs and 37 mins
Fierce Invalids Home from Hot Climates,Tom Robbins, 16 hrs and 47 mins
Nothing Like It in the World,Stephen E. Ambrose, 15 hrs and 37 mins
The Fourth Monkey,J. D. Barker, 12 hrs and 32 mins
Torn,Carian Cole, 12 hrs and 5 mins
A Mother's Reckoning,Sue Klebold, 11 hrs and 24 mins
The Child Thief,Brom, 19 hrs and 36 mins
Runnin' with the Devil,"Noel Monk,Joe Layden", 11 hrs and 1 min
Amazing Grace,Eric Metaxas, 10 hrs and 3 mins
The Norman Conquest,Marc Morris, 18 hrs and 10 mins
Jedediah Smith,Barton H. Barbour, 10 hrs and 7 mins
"Easy Riders, Raging Bulls",Peter Biskind, 23 hrs and 41 mins
A History of Britain: Volume 1,Simon Schama, 15 hrs and 43 mins
Introduction To Christianity (2nd Edition),"Cardinal Joseph Ratzinger,Pope Benedict XVI", 12 hrs and 4 mins
Unwanted,Cathy Glass, 7 hrs and 47 mins
Words of Radiance,Brandon Sanderson, 48 hrs and 13 mins
A Storm of Swords,George R.R. Martin, 47 hrs and 34 mins
The Ocean at the End of the Lane,Neil Gaiman, 6 hrs and 22 mins
Queen of Shadows,Sarah J. Maas, 20 hrs and 43 mins
The Complete Guide to Microdosing Psilocybin Mushrooms,Alan Alpert, 1 hr and 58 mins
Hate to Love You,Jennifer Sucevic, 10 hrs and 3 mins
Bound by Murder,Laura Gail Black, 8 hrs and 16 mins
The Santiago Trilogy,Catherine Wiltcher, 23 hrs and 46 mins
The Earth Is Weeping,Peter Cozzens, 18 hrs and 39 mins
How to Build a Car,Adrian Newey, 12 hrs and 26 mins
Astray,Jenny Schwartz, 7 hrs and 47 mins
Fae's Rebellion,"M. Lynn,Melissa A. Craven", 7 hrs and 22 mins
Be Obsessed or Be Average,Grant Cardone, 11 hrs and 4 mins
Scrum,"Jeff Sutherland,J.J. Sutherland", 6 hrs and 43 mins
One of Us Is Lying (TV Series Tie-In Edition),Karen M. McManus, 10 hrs and 43 mins
Dawn,Octavia E. Butler, 9 hrs and 20 mins
Blood of My Monster,Rina Kent, 9 hrs and 14 mins
Carnage,Sarah Bailey, 9 hrs and 40 mins
Hearts of Steel,Elizabeth Camden, 11 hrs and 52 mins
Morgenthau,Andrew Meier, 38 hrs and 44 mins
The Lost Ones,Ace Atkins, 8 hrs and 55 mins
The Stay-at-Home Mother,Nicole Trope, 7 hrs and 40 mins
The Irish Boarding House,Sandy Taylor, 8 hrs and 56 mins
Confederacy of Fear,Blaine Pardoe, 15 hrs and 15 mins
"The Borrowed World Box Set, Volume One: Books 1-3",Franklin Horton, 25 hrs and 4 mins
Finding Yourself in the New Testament,Al Carraway, 7 hrs and 52 mins
And Finally,Henry Marsh, 5 hrs and 49 mins
Firefly: Coup de Grâce,Una McCormack, 11 hrs
The Great Money Reset,Jill Schlesinger, 7 hrs and 33 mins
When Darkness Falls,"L.T. Vargus,Tim McBain", 11 hrs and 2 mins
The Wicked in Me,Suzanne Wright, 14 hrs and 45 mins
The Housemaid,Freida McFadden, 9 hrs and 46 mins
Money and the Law of Attraction,Mia Hammond, 3 hrs and 25 mins
Defiance of the Fall 8,"TheFirstDefier,JF Brink", 23 hrs and 22 mins
Dead on Arrival,Nick Pirog, 7 hrs and 18 mins
State of Shock,Marie Force, 10 hrs and 59 mins
Killing Her Softly,Beverly Barton, 14 hrs and 14 mins
Wild Fire,"Nicholas Sansbury Smith,Anthony Melchiorri", 11 hrs and 9 mins
Birds of a Feather,Jacqueline Winspear, 11 hrs and 3 mins
Checkmate: This Is War,Kennedy Fox, 8 hrs and 54 mins
4 Keys to Hearing God's Voice,Dr. Mark Virkler, 11 hrs and 40 mins
UnSelfie,Michele Borba Dr., 8 hrs and 22 mins
The Assertiveness Guide for Women,Julie de Azevedo Hanks PhD LCSW, 5 hrs and 21 mins
The Azusa Street Mission and Revival,Cecil M. Robeck, 13 hrs and 20 mins
The Martyr,Anthony Ryan, 19 hrs and 42 mins
The Masculine in Relationship,GS Youngblood, 7 hrs and 47 mins
Something from Tiffany's,Melissa Hill, 9 hrs and 33 mins
AI and Machine Learning for Coders,Laurence Moroney, 9 hrs and 17 mins
Charlie Wilson's War,George Crile, 20 hrs and 24 mins
Those Across the River,Christopher Buehlman, 9 hrs and 6 mins
The Most Beautiful,Mayte Garcia, 9 hrs and 7 mins
The Gambler,William C. Rempel, 13 hrs and 3 mins
Coolidge,Amity Shlaes, 21 hrs and 4 mins
The Mandibles,Lionel Shriver, 13 hrs and 45 mins
How Google Works,"Eric Schmidt,Jonathan Rosenberg,Alan Eagle", 9 hrs and 47 mins
Meet Me in the Bathroom,Lizzy Goodman, 19 hrs and 42 mins
The Dragon with a Chocolate Heart,Stephanie Burgis, 9 hrs and 19 mins
Flyboys,James Bradley, 14 hrs and 22 mins
Burden of the Assassin,"David Archer,Vince Vogel", 11 hrs and 52 mins
Petals on the Wind,V. C. Andrews, 17 hrs and 17 mins
The Botany of Desire,Michael Pollan, 8 hrs and 32 mins
The 36-Hour Day,"Nancy L. Mace,Peter V. Rabins", 17 hrs and 24 mins
The Witches of Scotland: The Dream Dancers,Steven P. Aitchison, 4 hrs and 43 mins
A Sea of Sorrow and Scorn,A. P. Beswick, 5 hrs and 14 mins
Delete That,John Crist, 6 hrs and 38 mins
Stop Caretaking the Borderline or Narcissist,Margalis Fjelstad, 8 hrs and 13 mins
Almost There,Farrah Rochon, 10 hrs and 6 mins
Swing,Ashleigh Renard, 9 hrs and 13 mins
Limping with God,Chad Bird, 7 hrs and 34 mins
Survival of the Richest,Douglas Rushkoff, 6 hrs and 18 mins
Learn How to Lead to Win,Mike Manazir, 8 hrs and 32 mins
Mexican Sorcery,Laura Davila, 7 hrs and 10 mins
Devil's Delight,M. C. Beaton, 7 hrs and 16 mins
The Starfish and the Spider,"Ori Brafman,Rod Beckstrom", 5 hrs and 32 mins
Critical Role: The Mighty Nein—The Nine Eyes of Lucien,"Madeleine Roux,Critical Role", 12 hrs and 43 mins
The Essays of Warren Buffett,"Lawrence A. Cunningham,Warren E. Buffett", 15 hrs and 32 mins
Cinema Speculation,Quentin Tarantino, 10 hrs and 9 mins
Hostile,Nicole Dykes, 7 hrs and 38 mins
Oath of Possession,Jane Henry, 7 hrs and 29 mins
The Winter Sea,Susanna Kearsley, 15 hrs and 49 mins
Up with the Sun,Thomas Mallon, 13 hrs and 8 mins
The Boy from Block 66,Limor Regev, 5 hrs and 48 mins
Dr. No,Percival Everett, 6 hrs and 22 mins
"The China Study, Revised and Expanded Edition","T. Colin Campbell PhD,Thomas M. Campbell II MD", 18 hrs and 2 mins
American Kingpin,Nick Bilton, 12 hrs and 14 mins
Angela's Ashes,"Frank McCourt,Jeannette Walls - introduction", 15 hrs and 8 mins
Wish,Barbara O'Connor, 4 hrs and 41 mins
Are Prisons Obsolete?,Angela Y. Davis, 4 hrs and 56 mins
The King,Christopher Andersen, 15 hrs and 38 mins
The New Life,Tom Crewe, 13 hrs and 34 mins
Worried About Everything Because I Pray About Nothing,Chad Veach, 7 hrs and 23 mins
You're Fired,Shaya Crabtree, 6 hrs and 49 mins
The Land of the Gods,H. P. Blavatsky, 5 hrs and 23 mins
Candide,Voltaire, 3 hrs and 38 mins
The Suspect,Kathryn Croft, 9 hrs and 38 mins
Chasing Catastrophe,Rick Leventhal, 11 hrs and 27 mins
Rebel Academy: The Complete Series,Rosemary A Johns, 33 hrs and 59 mins
The Shadow Watch Saga,S.A. Klopfenstein, 55 hrs and 17 mins
The Memory of an Elephant,Alex Lasker, 7 hrs and 58 mins
La cabeza de mi padre [My Father’s Head],Alma Delia Murillo, 5 hrs and 55 mins
The New Dare to Discipline,James C. Dobson, 2 hrs and 57 mins
Problem Child,Heather Long, 9 hrs and 19 mins
The Warmth of Her Affection,Elsie Fulbrook, 10 hrs and 52 mins
Created for Connection,"Sue Johnson,Kenneth Sanderfer", 10 hrs and 16 mins
The Tide: Iron Wind,Anthony J. Melchiorri, 11 hrs and 54 mins
Faith Still Moves Mountains,Harris Faulkner, 8 hrs and 48 mins
Frost,C.N. Crawford, 8 hrs and 19 mins
The Power of Habit,Charles Duhigg, 10 hrs and 53 mins
Psalm 91: God's Umbrella of Protection,Peggy Joyce Ruth, 4 hrs and 2 mins
Infinity Control,Marc Alan Edelheit, 13 hrs and 4 mins
My Jesus,"Anne Wilson,Matthew West", 4 hrs and 52 mins
The Cost of Control,Sharon Hodde Miller, 6 hrs and 52 mins
Chill and Prosper,Denise Duffield-Thomas, 8 hrs and 59 mins
Traitor King,Andrew Lownie, 8 hrs and 27 mins
Tomb of Sand,Geetanjali Shree, 18 hrs and 21 mins
Maybe We'll Make It,Margo Price, 10 hrs and 18 mins
Blackest Ocean,"J.N. Chaney,Terry Maggert", 11 hrs and 8 mins
Come Up for Air,Nick Sonnenberg, 7 hrs and 59 mins
Dark Alliance Kindred Souls,I. T. Lucas, 8 hrs and 20 mins
"Eastern Body, Western Mind",Anodea Judith, 16 hrs and 50 mins
Red Mars,Kim Stanley Robinson, 23 hrs and 51 mins
The Oz Principle,"Roger Connors,Tom Smith,Craig Hickman", 8 hrs
Other Minds,Peter Godfrey-Smith, 7 hrs and 4 mins
The Golem and the Jinni,Helene Wecker, 19 hrs and 42 mins
The Trial,Franz Kafka, 8 hrs and 53 mins
Lavender and Lightning,Thora Woods, 15 hrs and 37 mins
Wired for Story,Lisa Cron, 7 hrs and 59 mins
Living on the Inside of the Edge,Christian Kimball, 9 hrs and 13 mins
Conspiracy,Michael Shermer, 9 hrs and 59 mins
Africa Is Not a Country,Dipo Faloyin, 9 hrs and 24 mins
The 2-Hour Cocktail Party,Nick Gray, 3 hrs and 57 mins
Long Shadows,David Baldacci, 12 hrs and 3 mins
The Words,Ashley Jade, 16 hrs and 50 mins
Take Command,"Joe Hart,Michael A. Crom", 8 hrs and 2 mins
No Home for Killers,E.A. Aymar, 9 hrs and 46 mins
Inciting Joy,Ross Gay, 8 hrs and 21 mins
How to Be Loving,Danielle LaPorte, 10 hrs and 16 mins
Mysteries of Thorn Manor,Margaret Rogerson, 3 hrs and 52 mins
Conquer Emotional Eating,Ella Renée, 3 hrs and 56 mins
Play with Me,Becka Mack, 19 hrs and 41 mins
Cómo crear un canal de Youtube y un podcast [How to Start a YouTube Channel and Podcast],Elliot Shore, 6 hrs and 38 mins
Final Girls,Riley Sager, 12 hrs and 24 mins
Escaping Home,A. American, 8 hrs and 41 mins
What Lies Beneath,J. G. Hetherton, 10 hrs and 10 mins
Danger Zone,"Hal Brands,Michael Beckley", 8 hrs and 26 mins
The Queen,Andrew Morton, 14 hrs and 19 mins
Next Door Dragon Daddy,Roxie Ray, 11 hrs and 20 mins
The Catch Me If You Can,Jessica Nabongo, 12 hrs and 25 mins
Confessions of a Hustla's Housekeeper 2,Jahquel J., 7 hrs and 47 mins
Foster,Claire Keegan, 1 hr and 26 mins
Essex Dogs,Dan Jones, 13 hrs and 23 mins
Final Battle,David Horowitz, 5 hrs and 37 mins
The Prince's Alliance,Christopher G. Nuttall, 11 hrs and 48 mins
Power and Prediction,"Ajay Agrawal,Joshua Gans,Avi Goldfarb", 10 hrs and 7 mins
Dark Fall,"Brian Andrews,Jeffrey Wilson", 11 hrs and 36 mins
Profiles in Courage,John F. Kennedy, 3 hrs and 10 mins
How to Eat Fried Worms,Thomas Rockwell, 1 hr and 53 mins
Titanic: Voices From the Disaster,Deborah Hopkinson, 4 hrs and 55 mins
Common Stocks and Uncommon Profits,Philip A. Fisher, 2 hrs and 55 mins
Blood Pressure Down,"Janet Bond Brill PhD RD LDN,Emil M. de Goma MD", 7 hrs and 3 mins
Remote,"Jason Fried,David Heinemeier Hansson", 3 hrs and 22 mins
The Courage to Be,Paul Tillich, 6 hrs and 32 mins
The Extraordinary Education of Nicholas Benedict,"Trenton Lee Stewart,Diana Sudyka - illustrator", 13 hrs and 56 mins
Wisdom from Your Spirit Guides,James Van Praagh, 4 hrs and 31 mins
Gears of War: Aspho Fields,Karen Traviss, 10 hrs and 47 mins
The Oldest Cure in the World,Steve Hendricks, 17 hrs and 44 mins
COVID-19 and the Global Predators,"Peter Roger Breggin,Ginger Breggin", 24 hrs and 9 mins
A Wind in the Door,Madeleine L'Engle, 5 hrs and 27 mins
Successful Women Think Differently,Valorie Burton, 7 hrs and 14 mins
Why Zebras Don't Get Ulcers,Robert Sapolsky, 17 hrs and 16 mins
The Nordic Theory of Everything,Anu Partanen, 10 hrs and 28 mins
The Perfume Collector,Kathleen Tessaro, 12 hrs and 6 mins
Discover Your True North,Bill George, 10 hrs and 3 mins
Little Heaven,Nick Cutter, 15 hrs and 59 mins
The Bronze Horseman,Paullina Simons, 30 hrs and 43 mins
Born a Crime,Trevor Noah, 8 hrs and 44 mins
"The Sea, the Sea","Iris Murdoch,Mary Kinzie - introduction", 21 hrs
The Unbreakable Bladesong Druid,Annette Marie, 7 hrs and 50 mins
Running Wild,K. A. Tucker, 11 hrs and 40 mins
He Gets Us,Max Lucado, 1 hr and 42 mins
It's Not About the Money,Scarlett Cochran, 6 hrs and 22 mins
Honor,Thrity Umrigar, 11 hrs and 19 mins
The Mysterious Benedict Society,"Trenton Lee Stewart,Carson Ellis - illustrator", 13 hrs and 17 mins
Way of the Wolf,Jordan Belfort, 7 hrs and 28 mins
Her Bridegroom Bought and Paid For,Alice Coldbreath, 14 hrs and 10 mins
30 Days to a More Powerful Vocabulary,Dan Strutzel, 7 hrs and 48 mins
The Infinite Sea,Rick Yancey, 8 hrs and 13 mins
Baumgartners Boxed Set,Selena Kitt, 14 hrs and 52 mins
The Gospel of Mary Magdalene,Jean-Yves Leloup, 6 hrs and 16 mins
Longitude,Dava Sobel, 4 hrs and 20 mins
The Wise Men,"Evan Thomas,Walter Isaacson", 33 hrs and 27 mins
The Three-Body Problem,Cixin Liu, 14 hrs and 37 mins
Spaced Out,Stuart Gibbs, 6 hrs and 44 mins
The Love Song of Miss Queenie Hennessy,Rachel Joyce, 10 hrs and 35 mins
Swords and Deviltry,Fritz Leiber, 7 hrs and 37 mins
The Genius Files #5: License to Thrill,Dan Gutman, 5 hrs and 1 min
Charlotte Gibson Mysteries Boxed Set,Jasmine Webb, 18 hrs and 17 mins
"Open Mind, Open Heart (20th Anniversary Edition)",Thomas Keating, 5 hrs and 40 mins
Miss Percy's Pocket Guide (to the Care and Feeding of British Dragons),Quenby Olson, 12 hrs and 36 mins
The Brain over Binge Recovery Guide,Kathryn Hansen, 10 hrs and 20 mins
Saving Ceecee Honeycutt,Beth Hoffman, 10 hrs and 4 mins
The Mountain Is You,Brianna Wiest, 5 hrs and 44 mins
Psycho Fae,Jasmine Mas, 12 hrs and 2 mins
US Citizenship Test Study Guide 2022-2023,Dominic Keller, 5 hrs and 18 mins
Second Coming,J.A. Konrath, 7 hrs and 49 mins
Devouring Darkness,Chloe Neill, 10 hrs and 9 mins
Guarding Evelyn,Erin Zak, 10 hrs and 36 mins
Lone Wolf Pack: Books 1-3,Heather Hildenbrand, 28 hrs and 7 mins
Five Survive,Holly Jackson, 10 hrs and 32 mins
A Heart That Works,Rob Delaney, 3 hrs and 25 mins
Waco,Jeff Guinn, 11 hrs and 17 mins
The Crucible,Waldo Rodriguez, 22 hrs and 16 mins
The Stranger in the Woods,Michael Finkel, 6 hrs and 19 mins
Estrogeneration,Anthony G. Jay, 7 hrs and 54 mins
Mate,"Tucker Max,Geoffrey Miller PhD", 12 hrs and 43 mins
The God I Never Knew,Robert Morris, 5 hrs and 54 mins
Win Your Case,Gerry Spence, 4 hrs and 52 mins
"Tantra Illuminated: The Philosophy, History, and Practice of a Timeless Tradition",Christopher D. Wallis, 19 hrs and 4 mins
Creating Character Arcs,K.M. Weiland, 5 hrs and 7 mins
Spy Secrets That Can Save Your Life,Jason Hanson, 6 hrs and 17 mins
The Leadership Secrets of Nick Saban,John Talty, 8 hrs and 27 mins
The Broken Elf King,Leia Stone, 6 hrs and 47 mins
Opening Closed-Guard,Robert Drysdale, 13 hrs and 21 mins
The Spaceship in the Stone,Igor Nikolic, 9 hrs and 5 mins
The Time Machine,H. G. Wells, 3 hrs and 22 mins
The House Witch 3,Delemhach, 13 hrs and 1 min
Confronting Jesus,Rebecca McLaughlin, 6 hrs and 3 mins
I See Satan Fall Like Lightning,René Girard, 7 hrs and 32 mins
Extreme Ownership,"Jocko Willink,Leif Babin", 9 hrs and 33 mins
The Four Agreements,don Miguel Ruiz, 2 hrs and 31 mins
Born a Crime,Trevor Noah, 8 hrs and 44 mins
The Alchemist,Paulo Coelho, 4 hrs
Sapiens,Yuval Noah Harari, 15 hrs and 18 mins
The Untethered Soul,Michael A. Singer, 6 hrs and 11 mins
Children of Time,Adrian Tchaikovsky, 16 hrs and 31 mins
Traction,Gino Wickman, 6 hrs and 56 mins
The Tools,"Barry Michels,Phil Stutz", 7 hrs and 13 mins
"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud", 11 hrs and 18 mins
Behind Closed Doors,B. A. Paris, 8 hrs and 30 mins
The Devil in the White City,Erik Larson, 14 hrs and 58 mins
Killers of the Flower Moon,David Grann, 9 hrs and 4 mins
The Thank You Economy,Gary Vaynerchuk, 5 hrs and 41 mins
The Bees,Laline Paull, 10 hrs and 16 mins
Christian Theology 3rd Edition,Millard J. Erickson, 63 hrs
I Am the Warrior,Holly Knight, 8 hrs and 51 mins
Your Greater Is Coming,Joel Osteen, 6 hrs and 26 mins
Confronting Jesus,Rebecca McLaughlin, 6 hrs and 3 mins
I See Satan Fall Like Lightning,René Girard, 7 hrs and 32 mins
Extreme Ownership,"Jocko Willink,Leif Babin", 9 hrs and 33 mins
The Four Agreements,don Miguel Ruiz, 2 hrs and 31 mins
Born a Crime,Trevor Noah, 8 hrs and 44 mins
The Alchemist,Paulo Coelho, 4 hrs
Sapiens,Yuval Noah Harari, 15 hrs and 18 mins
The Untethered Soul,Michael A. Singer, 6 hrs and 11 mins
Children of Time,Adrian Tchaikovsky, 16 hrs and 31 mins
Traction,Gino Wickman, 6 hrs and 56 mins
The Tools,"Barry Michels,Phil Stutz", 7 hrs and 13 mins
"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud", 11 hrs and 18 mins
Behind Closed Doors,B. A. Paris, 8 hrs and 30 mins
The Devil in the White City,Erik Larson, 14 hrs and 58 mins
Killers of the Flower Moon,David Grann, 9 hrs and 4 mins
The Thank You Economy,Gary Vaynerchuk, 5 hrs and 41 mins
The Bees,Laline Paull, 10 hrs and 16 mins
Christian Theology 3rd Edition,Millard J. Erickson, 63 hrs
I Am the Warrior,Holly Knight, 8 hrs and 51 mins
Your Greater Is Coming,Joel Osteen, 6 hrs and 26 mins
