,Title,Year,Certification,Time,Genre,Star,Meta,Resume,Director,Actors,Vote,Gross
0,Hotel Rwanda,(2004),PG-13,121 min,"Biography, Drama, History",8.1,79,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George,"['Terry George', 'Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali']","357,166",$23.53M
1,Tsotsi,(2005),R,95 min,"Crime, Drama",7.2,70,Six days in the violent life of a young Johannesburg gang leader.,Gavin Hood,"['Gavin Hood', 'Presley Chweneyagae', 'Mothusi Magano', 'Israel Matseke-Zulu', 'Terry Pheto']","28,719",$2.91M
2,The Last King of Scotland,(2006),R,123 min,"Biography, Drama, History",7.6,74,Based on the events of the brutal Ugandan dictatorIdi Amin's regime as seen by his personal physician during the 1970s.,Kevin Macdonald,"['Kevin Macdonald', 'James McAvoy', 'Forest Whitaker', 'Gillian Anderson', 'Kerry Washington']","187,902",$17.61M
3,The First Grader,(2010),PG-13,103 min,"Biography, Drama, Romance",7.4,56,The story of an 84 year-old Kenyan villager and ex Mau Mau veteran who fights for his right to go to school for the first time to get the education he could never afford.,Justin Chadwick,"['Justin Chadwick', 'Naomie Harris', 'Oliver Litondo', 'Tony Kgoroge', 'Alfred Munyua']","4,721",$0.33M
4,Beasts of No Nation,(2015),None,137 min,"Drama, War",7.7,79,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",Cary Joji Fukunaga,"['Cary Joji Fukunaga', 'Abraham Attah', 'Emmanuel Affadzi', 'Ricky Adelayitor', 'Andrew Adote']","82,414",$0.08M
5,The Bang Bang Club,(2010),R,106 min,"Biography, Drama, History",6.9,48,A drama based on the true-life experiences of four combat photographers capturing the final days of apartheid in South Africa.,Steven Silver,"['Steven Silver', 'Ryan Phillippe', 'Malin Akerman', 'Taylor Kitsch', 'Neels van Jaarsveld']","10,987",None
6,La battaglia di Algeri,(1966),None,121 min,"Drama, War",8.1,96,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Gillo Pontecorvo,"['Gillo Pontecorvo', 'Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi', 'Samia Kerbash']","60,970",$0.06M
7,Sometimes in April,(2005 TV Movie),None,140 min,"Drama, History, War",7.8,None,"When the Hutu nationalists raised arms against their Tutsi countrymen in Rwanda in April 1994, the violent uprising marked the beginning of one of the darkest times in African history which resulted in the deaths of almost 800,000 people.",Raoul Peck,"['Raoul Peck', 'Idris Elba', 'Carole Karemera', 'Pamela Nomvete', 'Oris Erhuero']","5,677",None
8,Shooting Dogs,(2005),R,115 min,"Drama, History, War",7.6,71,A Catholic Priest and an English teacher get stranded in a school in Kigali during the 1994 Rwandan genocide.,Michael Caton-Jones,"['Michael Caton-Jones', 'John Hurt', 'Hugh Dancy', 'Dominique Horwitz', 'Louis Mahoney']","11,638",None
9,Desert Flower,(2009),R,120 min,"Biography, Drama",7.3,54,"Waris Dirie, born 1965 in Somalia, flees at 13 when sold as 4th wife. She's maid at the Somalian embassy in London, then McDonald's, where she's discovered and becomes int'l top model. 1997, she speaks up against female genital mutilation.",Sherry Hormann,"['Sherry Hormann', 'Soraya Omar-Scego', 'Idriss Abdillahi Houfaneh', 'Awa Saïd Darar', 'Roun Daher Aïnan']","13,486",$0.04M
10,Jerusalema,(2008),R,119 min,"Action, Crime, Drama",7.3,53,A young hoodlum's rise from a small-time criminal to a powerful crime entrepreneur during the turbulent years before and after the fall of apartheid.,Ralph Ziman,"['Ralph Ziman', 'Rapulana Seiphemo', 'Jeffrey Sekele', 'Ronnie Nyakale', 'Shelley Meskin']","10,705",$0.00M
11,Yesterday,(I) (2004),R,90 min,Drama,7.5,None,"After falling ill, Yesterday learns that she is HIV positive. With her husband in denial and young daughter to tend to, Yesterday's one goal is to live long enough to see her child go to school.",Darrell Roodt,"['Darrell Roodt', 'Leleti Khumalo', 'Lihle Mvelase', 'Kenneth Khambula', 'Harriet Lenabe']","2,398",None
12,Rebelle,(2012),None,90 min,"Drama, War",7,84,"Somewhere in Sub-Saharan Africa, Komona, a 14-year-old girl, tells her unborn child growing inside her the story of her life since she has been at war. Everything started when she was abducted by the rebel army at the age of 12.",Kim Nguyen,"['Kim Nguyen', 'Rachel Mwanza', 'Alain Lino Mic Eli Bastien', 'Serge Kanyinda', 'Ralph Prosper']","7,366",$0.07M
13,Timbuktu,(2014),PG-13,96 min,"Drama, War",7.1,92,A cattle herder and his family who reside in the dunes of Timbuktu find their quiet lives -- which are typically free of the Jihadists determined to control their faith -- abruptly disturbed.,Abderrahmane Sissako,"['Abderrahmane Sissako', 'Ibrahim Ahmed', 'Abel Jafri', 'Toulou Kiki', 'Layla Walet Mohamed']","17,623",$1.08M
14,Queen of Katwe,(2016),PG,124 min,"Biography, Drama, Sport",7.4,73,A Ugandan girl sees her world rapidly change after being introduced to the game of chess.,Mira Nair,"['Mira Nair', 'Madina Nalwanga', 'David Oyelowo', ""Lupita Nyong'o"", 'Martin Kabanza']","17,682",$8.81M
15,Zulu,(1964),None,138 min,"Drama, History, War",7.7,77,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Cy Endfield,"['Cy Endfield', 'Stanley Baker', 'Jack Hawkins', 'Ulla Jacobsson', 'James Booth']","39,914",None
16,Blood Diamond,(2006),R,143 min,"Adventure, Drama, Thriller",8,64,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Edward Zwick,"['Edward Zwick', 'Leonardo DiCaprio', 'Djimon Hounsou', 'Jennifer Connelly', 'Kagiso Kuypers']","552,565",$57.37M
17,White Material,(2009),None,106 min,"Drama, War",6.9,81,"Amidst turmoil and racial conflict in a Francophone African state, a white French woman fights for her coffee crop, her family and ultimately for her life.",Claire Denis,"['Claire Denis', 'Isabelle Huppert', 'Christopher Lambert', 'Isaach De Bankolé', 'Nicolas Duvauchelle']","7,934",$0.30M
18,Gorillas in the Mist: The Story of Dian Fossey,(1988),None,129 min,"Biography, Drama",7,None,"The story ofDian Fossey, a scientist who came to Africa to study the vanishing mountain gorillas, and later fought to protect them.",Michael Apted,"['Michael Apted', 'Sigourney Weaver', 'Bryan Brown', 'Julie Harris', 'John Omirah Miluwi']","27,292",$24.72M
19,Shaka Zulu,(1986),None,300 min,"Action, Biography, Drama",7.7,None,A historical account on the life of the Zulu King Shaka.,Edward Fox,"['Edward Fox', 'Robert Powell', 'Trevor Howard', 'Fiona Fullerton']","3,174",None
20,Searching for Sugar Man,(2012),PG-13,86 min,"Documentary, Biography, Music",8.2,79,"Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock n roller,Rodriguez.",Malik Bendjelloul,"['Malik Bendjelloul', 'Rodriguez', ""Stephen 'Sugar' Segerman"", 'Dennis Coffey', 'Mike Theodore']","69,162",$3.97M
21,Out of Africa,(1985),None,161 min,"Biography, Drama, Romance",7.1,69,"In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.",Sydney Pollack,"['Sydney Pollack', 'Meryl Streep', 'Robert Redford', 'Klaus Maria Brandauer', 'Michael Kitchen']","80,934",$87.10M
22,Invictus,(2009),PG-13,134 min,"Action, Biography, Drama",7.3,74,"Nelson Mandela, in his first term as President of South Africa, initiates a unique venture to unite the Apartheid-torn land: enlist the national rugby team on a mission to win the 1995 Rugby World Cup.",Clint Eastwood,"['Clint Eastwood', 'Morgan Freeman', 'Matt Damon', 'Tony Kgoroge', 'Patrick Mofokeng']","161,129",$37.49M
23,The English Patient,(1996),R,162 min,"Drama, Romance, War",7.4,87,"At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.",Anthony Minghella,"['Anthony Minghella', 'Ralph Fiennes', 'Juliette Binoche', 'Willem Dafoe', 'Kristin Scott Thomas']","191,932",$78.65M
24,Tears of the Sun,(2003),R,121 min,"Action, Drama, Thriller",6.6,48,A Special-Ops commander leads his team into the Nigerian jungle in order to rescue a doctor who will only join them if they agree to save 70 refugees too.,Antoine Fuqua,"['Antoine Fuqua', 'Bruce Willis', 'Cole Hauser', 'Monica Bellucci', 'Eamonn Walker']","124,040",$43.73M
25,Machine Gun Preacher,(2011),R,129 min,"Action, Biography, Crime",6.7,43,Sam Childersis a former drug-dealing biker tough guy who found God and became a crusader for hundreds of Sudanese children who've been forced to become soldiers.,Marc Forster,"['Marc Forster', 'Gerard Butler', 'Michelle Monaghan', 'Michael Shannon', 'Kathy Baker']","66,848",$0.54M
26,The Good Lie,(2014),PG-13,110 min,"Biography, Drama",7.4,65,"A group of Sudanese refugees, given the chance to resettle in the U.S., arrive in Kansas City, Missouri, where their encounter with an employment agency counselor forever changes all of their lives.",Philippe Falardeau,"['Philippe Falardeau', 'Reese Witherspoon', 'Arnold Oceng', 'Ger Duany', 'Emmanuel Jal']","28,952",$2.72M
27,Stander,(2003),R,111 min,"Action, Biography, Crime",7.1,62,"The life and career of Andre Stander, a South African police officer turned bank robber.",Bronwen Hughes,"['Bronwen Hughes', 'Thomas Jane', ""David O'Hara"", 'Dexter Fletcher', 'Deborah Kara Unger']","8,795",$0.02M
28,Tabu,(I) (2012),None,118 min,"Drama, Romance",7.3,78,A restless retired woman teams up with her deceased neighbor's maid to seek out a man who has a secret connection to her past life as a farm owner at the foothill of Mount Tabu in Africa.,Miguel Gomes,"['Miguel Gomes', 'Telmo Churro', 'Miguel Gomes', 'Hortêncílio Aquina', 'Américo Mota']","7,096",None
29,The Ghost and the Darkness,(1996),R,110 min,"Adventure, Drama, Thriller",6.8,46,A bridge engineer and an experienced old hunter begin a hunt for two lions after they start attacking local construction workers.,Stephen Hopkins,"['Stephen Hopkins', 'Michael Douglas', 'Val Kilmer', 'Tom Wilkinson', 'John Kani']","63,081",$38.62M
30,Die weiße Massai,(2005),None,131 min,"Drama, Romance",6.4,None,"A girl, Carola, whose vacation in Kenya takes an interesting turn when she becomes infatuated with a Masai. Carola decides to leave her boyfriend to stay with her lover. There, she has to ...See full summary»",Hermine Huntgeburth,"['Hermine Huntgeburth', 'Nina Hoss', 'Jacky Ido', 'Katja Flint', 'Antonio Prester']","3,939",None
31,Mandela: Long Walk to Freedom,(2013),PG-13,141 min,"Biography, Drama, History",7.1,60,A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,Justin Chadwick,"['Justin Chadwick', 'Idris Elba', 'Naomie Harris', 'Terry Pheto', 'Robert Hobbs']","28,217",$8.32M
32,Nirgendwo in Afrika,(2001),R,141 min,"Biography, Drama, History",7.5,72,A German Jewish refugee family moves to and adjusts to a farm life in 1930s Kenya.,Caroline Link,"['Caroline Link', 'Juliane Köhler', 'Merab Ninidze', 'Matthias Habich', 'Sidede Onyulo']","13,454",$6.17M
33,The Power of One,(1992),PG-13,127 min,"Drama, Sport",7.1,40,"An English boy, living in Africa during World War II, through his boxing prowess, becomes a symbol of hope, in a time of war.",John G. Avildsen,"['John G. Avildsen', 'Stephen Dorff', 'Armin Mueller-Stahl', 'Morgan Freeman', 'Nomadlozi Kubheka']","10,147",$2.83M
34,The Constant Gardener,(2005),R,129 min,"Drama, Mystery, Romance",7.4,82,"A widower is determined to get to the bottom of a potentially explosive secret involving his wife's murder, big business, and corporate corruption.",Fernando Meirelles,"['Fernando Meirelles', 'Ralph Fiennes', 'Rachel Weisz', 'Danny Huston', 'Hubert Koundé']","142,813",$33.58M
35,The Siege of Jadotville,(2016),None,108 min,"Action, Drama, History",7.2,None,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,Richie Smyth,"['Richie Smyth', 'Richard Lukunku', 'Danny Sapani', 'Andrew Stock', 'Mark Strong']","40,676",None
36,"Cry, the Beloved Country",(1995),PG-13,106 min,"Drama, Thriller",6.8,71,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",Darrell Roodt,"['Darrell Roodt', 'Richard Harris', 'James Earl Jones', 'Vusi Kunene', 'Charles S. Dutton']","1,886",$0.68M
37,Doa al karawan,(1959),None,109 min,"Drama, Romance",8.1,None,"This compelling tale of love and betrayal, set in the upper Egyptian countryside, follows the story of Amna as she plots her revenge on the engineer who destroyed her family's honor.",Henry Barakat,"['Henry Barakat', 'Faten Hamamah', 'Ahmad Mazhar', 'Aminah Rizq', 'Zahrat El-Ula']","1,815",None
38,Yeelen,(1987),None,105 min,"Drama, Fantasy",7,None,A young man with magical powers journeys to his uncle to request help in fighting his sorcerer father.,Souleymane Cissé,"['Souleymane Cissé', 'Issiaka Kane', 'Aoua Sangare', 'Niamanto Sanogo', 'Balla Moussa Keita']","2,539",None
39,The Last Lions,(2011),PG,88 min,"Documentary, Family",8.2,69,"Fifty years ago there were close to half-a-million lions in Africa. Today there are around 20,000. To make matters worse, lions, unlike elephants, which are far more numerous, have ...See full summary»",Dereck Joubert,"['Dereck Joubert', 'Jeremy Irons']","4,223",$0.64M
40,Asmaa,(2011),None,96 min,Drama,8.1,None,A woman who suffers from AIDS decides not to surrender to the fatal disease. She exerts huge efforts in trying to recover or by helping those who suffer the same disease by giving them glimmers of hope.,Amr Salama,"['Amr Salama', 'Hind Sabri', 'Maged El-Kidwani', 'Hany Adel', 'Dana Abed']","4,587",None
41,London River,(2009),None,84 min,"Drama, Mystery",6.9,67,Two strangers come to discover the fate of their respective children in the 2005 terrorist attacks on London.,Rachid Bouchareb,"['Rachid Bouchareb', 'Brenda Blethyn', 'Sotigui Kouyaté', 'Sami Bouajila', 'Roschdy Zem']","3,760",$0.00M
42,Lord of War,(2005),R,122 min,"Crime, Drama",7.6,62,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Andrew Niccol,"['Andrew Niccol', 'Nicolas Cage', 'Ethan Hawke', 'Jared Leto', 'Bridget Moynahan']","320,602",$24.15M
43,District 9,(2009),R,112 min,"Action, Sci-Fi, Thriller",7.9,81,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,Neill Blomkamp,"['Neill Blomkamp', 'Sharlto Copley', 'David James', 'Jason Cope', 'Nathalie Boltt']","684,481",$115.65M
44,Animals Are Beautiful People,(1974),None,92 min,"Comedy, Documentary",8.2,None,Hilarious documentary on the wildlife of the Namib Desert.,Jamie Uys,"['Jamie Uys', ""Paddy O'Byrne""]","3,938",None
45,"Ali Zaoua, prince de la rue",(2000),None,99 min,"Drama, Crime",7.4,55,"A group of children living on the street leave their gang, prompting retribution from the gang's leader. After one of the children dies, the rest try to come up with the resources to give their friend a proper burial.",Nabil Ayouch,"['Nabil Ayouch', 'Mounïm Kbab', 'Mustapha Hansali', 'Hicham Moussoune', 'Abdelhak Zhayra']","2,789",None
46,Zulu,(2013),R,110 min,"Action, Crime, Drama",6.7,None,"Policemen Ali Sokhela and Brian Epkeen investigate the brutal murder of a young white woman, apparently provoked by the availability of a new illegal drug and somehow connected to the disappearance of black street children.",Jérôme Salle,"['Jérôme Salle', 'Orlando Bloom', 'Forest Whitaker', 'Conrad Kemp', 'Inge Beckmann']","19,089",None
47,When We Were Kings,(1996),PG,88 min,"Documentary, Sport",8,83,"Boxing documentary on the 1974 world heavyweight championship bout between defending champion,George Foreman, and the underdog challenger,Muhammad Ali.",Leon Gast,"['Leon Gast', 'Muhammad Ali', 'George Foreman', 'Don King', 'James Brown']","18,209",$2.79M
48,Sarafina!,(1992),PG-13,117 min,"Drama, Musical",6.3,None,South African teenagers fight against apartheid in the Soweto Uprising.,Darrell Roodt,"['Darrell Roodt', 'Whoopi Goldberg', 'Leleti Khumalo', 'Miriam Makeba', 'John Kani']","2,056",$7.31M
49,The Gunman,(2015),R,115 min,"Action, Adventure, Crime",5.8,39,"A sniper on a mercenary assassination team kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.",Pierre Morel,"['Pierre Morel', 'Sean Penn', 'Idris Elba', 'Jasmine Trinca', 'Javier Bardem']","41,764",$10.64M
